station_id,name,lat,lon
010188,"Jones Rd at Hill Crescent, stop 35/36",-27.496744,153.088576
010189,"Old Cleveland Rd at Stones Corner Library, stop 17",-27.498482,153.043671
001019,"Burilda St at Derby Street, stop 45",-27.419561,153.068326
010190,Old Cleveland Rd at Coorparoo Stop 23,-27.494703,153.058566
010192,"Chapel Hill Rd near Neptune St, stop 1",-27.506499,152.952289
010193,Bedivere St at Lindisfarne Street,-27.493604,153.108084
010194,Bedivere St at Lindisfarne Street,-27.493423,153.107995
010195,"Gallipoli Rd at Buzacott Street, stop 48a",-27.507674,153.097374
010196,"Edmondstone Rd at Parkview, stop 14",-27.442960,153.041118
010197,"Edmondstone Rd at Parkview, stop 14",-27.443455,153.041287
010198,Albany Creek Rd at Aspley Bowl,-27.362708,153.008572
010199,Albany Creek Rd at Aspley Bowl,-27.362408,153.008554
001020,"Upper Roma St near Quay St, stop 3",-27.466210,153.013906
010200,"Pinelands Rd at Barney Street, stop 70/71",-27.593948,153.059661
010201,"Pinelands Rd at Barney Street, stop 70/71",-27.594033,153.059318
010204,"Compton Rd at Sunnybank Hills Shops, stop 83",-27.611476,153.057082
010209,"Compton Rd at Frizzell Street, stop 85",-27.611499,153.062691
001021,"Wickham St at Light Street, stop 7",-27.452271,153.038857
010210,"Compton Rd at Kyabra Street, stop 86",-27.611233,153.068824
010211,"Compton Rd near Kyabra Street, stop 86",-27.611610,153.069371
010212,"Eisenhower St at Park, stop 87",-27.612344,153.071125
010213,Ian Lynas Memorial Park,-27.612354,153.070748
010214,"Eisenhower St near Hoover Ct, stop 88",-27.614124,153.071373
010215,"Roosevelt Dr near Penson St, stop 88",-27.614436,153.070360
010216,"Harrison St at Washington Place, stop 90",-27.618659,153.071322
010217,"Harrison St at Truman Court, stop 89",-27.616026,153.071822
001022,Grey Street at South Brisbane station,-27.474847,153.018788
010221,"Gowan Rd at Calam North, stop 35",-27.615961,153.061242
010223,"Appleby Rd at Quandeine Street, stop 34",-27.405852,153.008664
010225,Gowan Rd at Pennant Hills,-27.621529,153.060232
010226,"Stanley Rd at Sage Street, stop 41",-27.488648,153.091103
010227,"Stanley Rd at Lunga Street, stop 40",-27.488282,153.088507
010228,Stanley St E at Coorparoo Secondary College,-27.487205,153.054765
010229,"Stringybark Dr at Martindale Street, stop 47",-27.373884,153.005958
010230,"Perth St at St Thomas Primary, stop 31",-27.486446,153.073022
010231,"Oateson Skyline Dr at Darcy Road, stop 40",-27.478969,153.071086
010233,"Creek Rd at Carindale Tennis Centre, stop 46",-27.487520,153.099605
010234,"Creek Rd at Fursden Road, stop 47",-27.485915,153.098672
010235,"Creek Rd near Foxmont Dr, stop 50",-27.480290,153.095559
010236,Felstead St at Heflin Street,-27.400825,152.995507
010237,Felstead St at Heflin Street,-27.400674,152.995357
010239,Old Northern Rd at Hamilton Road,-27.379129,152.981012
001024,Grand Ave at Grand Avenue Cascade,-27.627832,152.966164
010240,"Oxford St at Wambool Street, stop 31",-27.451234,153.058865
010241,Nottingham Rd at Avondale,-27.628634,153.034699
010244,Nottingham Rd at Avondale,-27.628514,153.033491
010245,"Indooroopilly Rd at Jack Cook Park, stop 18/19",-27.494259,152.990764
010246,"Indooroopilly Rd at Jack Cook Park, stop 18/19",-27.493965,152.990954
010249,"Arnica Cr at Mantias Street, stop 56",-27.306492,153.019112
010250,"Arnica Cr near Korina St, stop 57",-27.305887,153.016431
010251,"Coronation Dr at Chasely Street, stop 8",-27.477880,153.000034
010252,Felstead St at Sizer Street,-27.400581,152.993878
010253,Felstead St at Sizer Street,-27.400439,152.993788
010254,England Rd near Pylara Cr,-27.394089,152.932531
010256,Dorville Rd at Dorville North,-27.346523,153.022243
010258,Dorville Rd at Denver East,-27.350295,153.021698
010259,Dorville Rd at Denver East,-27.350819,153.021421
001026,Grand Ave at Grand Avenue Cascade,-27.627975,152.965808
010260,"Juliette St at Baron Street, stop 18",-27.504483,153.041201
010261,Alderwood St at Benton Street Stop 67,-27.590389,153.019507
010262,"Chatsworth Rd at Rossmore Ave, stop 32",-27.504762,153.064867
001027,Alderwood St at Benton Street Stop 67,-27.590498,153.019496
010270,"Samford Rd at Alderley Junction, stop 26",-27.425292,153.000447
010271,"Samford Rd at Musgrave Terrace, stop 27",-27.424411,152.998390
010272,"Samford Rd at Camborne Street, stop 28",-27.423746,152.995656
010273,"Samford Rd at Bond Street, stop 29",-27.423071,152.992514
010276,South Pine Rd near Mott St,-27.313642,152.989000
010277,South Pine Rd near Station St,-27.312393,152.990364
010278,South Pine Rd near Deakin St,-27.325215,152.987129
010279,South Pine Rd near Hinkler Ct,-27.316906,152.988418
001028,"Hampden St at St Ledger, stop 29",-27.428979,153.075796
010280,South Pine Rd near Kremzow Rd,-27.317309,152.988558
010281,South Pine Rd near Leitchs Rd,-27.326135,152.977658
010282,South Pine Rd near Leitchs Rd,-27.326591,152.978664
010284,Strathpine Rd near Bald Hills Rd,-27.317246,153.009230
010285,Hoyland St near Kluver St,-27.316976,153.016549
010286,Hoyland St near Dresden St,-27.317362,153.016446
010288,"Hyde Rd at Rome Street North, stop 27",-27.510793,153.010575
010289,Castle St near Seabrook St,-27.403864,153.032501
001029,Battersby St near Victory St,-27.354094,153.039921
010296,Keong Rd near Seligan St,-27.348284,152.977226
010297,Keong Rd near Malvern Rd,-27.349890,152.976938
010298,"Strathpine Shopping Centre, stop D",-27.307531,152.993501
010299,Mawson St at Oates Street,-27.401248,153.023877
001030,"Nudgee Rd at Lilley Street, stop 34",-27.425245,153.072665
010302,"Wishart Rd near Elkana Pl, stop 76",-27.548349,153.099875
010303,"Beaudesert Rd at Moorooka South, stop 38",-27.544712,153.020033
010304,"Wishart Rd near Elkana Pl, stop 76",-27.548466,153.099930
010305,Dawson Pde near Link Rd,-27.407642,152.962107
010306,Troughton Rd at QEII Hospital,-27.559500,153.050659
010307,"Delavan St at Delavan Street Park, stop 85",-27.561427,153.096480
010308,Sydney St at Llewellyn Street,-27.472553,153.044225
010309,"Logan Rd at Bardsley Avenue, stop 20",-27.505209,153.048783
001031,"Nudgee Rd near Lilley St, stop 34",-27.425026,153.072864
010310,"Logan Rd at Mt Gravatt Corner, stop 44",-27.558713,153.080741
010311,Dawson Pde at Grovely station,-27.404816,152.961800
010313,"Newman Ave at Kelsey Street, stop 35",-27.497859,153.069195
010314,"Troughton Rd at QEII Hospital, stop 37",-27.559921,153.050402
010316,"York St near Prince St, stop 29",-27.495156,152.977723
010322,"Soudan St near Bent St, stop 24",-27.484285,152.980125
010324,"Exmouth St near Camp St, stop 26",-27.484734,152.977131
010325,"James St near Arthur St, stop 9",-27.457563,153.041070
010326,"Compton Rd at Piccadilly Way, stop 28",-27.612198,153.072993
010327,"Kerry Rd at Beatty Rd, stop 52",-27.571551,153.015036
010328,"Kerry Rd at Beatty Rd, stop 52",-27.571423,153.014931
001033,Norris Rd near Barbour Rd,-27.322829,153.026712
010330,"Merthyr Rd at Hawthorne Street, stop 13",-27.463393,153.049733
010331,"Macquarie St at Saratoga, stop 13A",-27.461113,153.050037
010332,"Merthyr Rd at Hawthorne Street, stop 13",-27.463330,153.049984
010334,Strathmore St near Connolly St,-27.403461,153.027600
010335,"Logan Rd at Raff Ave, stop 25",-27.513511,153.054424
010336,"Cole St near Elfreda St, stop 27",-27.428508,152.995632
010337,"Wattle St near Mawson St, stop 35",-27.400867,153.019958
010338,"Cole St near Hilda St, stop 27",-27.428407,152.995528
010339,Scott St at Chisholm Street,-27.402326,153.020815
001034,Norris Rd near Barbour Rd,-27.323259,153.026776
010340,Scott St at Chisholm Street,-27.402491,153.021184
010341,"Logan Rd at CB Mott Park, stop 26",-27.515304,153.056685
010342,"Cole St at Cole - Lloyd, stop 28",-27.426875,152.995934
010344,"Cole St at Cole - Lloyd, stop 28",-27.426495,152.995836
010346,"Holland Rd at Greenmount Avenue, stop 45",-27.517091,153.069360
010347,"Elgar St at Rowton Street, stop 47",-27.519720,153.072848
010349,"Elgar St near Olroy St, stop 47a",-27.521005,153.070803
001035,Wallace St near Farnell St,-27.389130,153.027166
010351,Harcourt St at Hough Lane,-27.454457,153.045954
010352,Harcourt St at Hough Lane,-27.455284,153.044979
010354,"Seville Rd at Seville Shops, stop 48",-27.521385,153.074012
010355,"Osborne Rd at Osborne North, stop 51",-27.402206,152.979126
010356,"Cradock St at Mar Street, stop 49",-27.523064,153.075965
010358,"Glindemann Dr near Seville Rd, stop 47b",-27.522808,153.070971
010359,"Rainworth Rd at Norm Buchan Park East, stop 12",-27.465642,152.991736
001036,Battersby St near Birdwood St,-27.354340,153.040856
010360,"Glindemann Dr near Seville Rd, stop 47b",-27.522831,153.071139
010362,"Seville Rd near Glindemann Dr, stop 47c",-27.522817,153.071953
010363,Victoria Park Rd at QUT Victoria Park Rd,-27.452014,153.016081
010364,"Seville Rd near Dobbie St, stop 47c",-27.522644,153.072017
010366,"Kessels Rd at Cremin Street, stop 60/45",-27.560331,153.080316
010368,"Logan Rd at St Bernard, stop 42",-27.553968,153.079725
010369,"Compton Rd at Piccadilly Way, stop 28",-27.611986,153.073503
001037,"Upper Lancaster Rd near Wren Street, stop 25",-27.430105,153.057404
010370,"Elgar St near Olroy St, stop 47a",-27.521158,153.070353
010371,"Upper Lancaster Rd near Wren Street, stop 25",-27.430224,153.057326
010372,"Holland Rd at Greenmount Avenue, stop 45",-27.517006,153.069760
010373,Dawson Pde near Casey St,-27.401056,152.961319
010374,"Moggill Rd at Bredden Street, stop 32",-27.508160,152.952272
010375,Dawson Pde near Madsen St,-27.402725,152.961675
010376,"Moggill Rd at Marshall Lane, stop 33",-27.507521,152.950016
010377,"Marshall Lane near Gilruth Rd, stop 36",-27.513475,152.946793
010378,Moggill Rd at Rafting Ground Park,-27.520382,152.922876
010379,"Gilliat St near Camoola St, stop 36b",-27.412563,152.945302
010380,"Lanark St near Kilkivan Ave, stop 39a",-27.512468,152.932650
010381,"Davies Rd near Coolibah St, stop 33",-27.454754,152.975708
010383,"Arthur Tce near Dean St, stop 15A",-27.450517,152.994264
010384,"Brisbane St at Kayes Rocks, stop 15",-27.488712,152.993981
010385,"Brookfield Rd at Kenmore West, stop 37",-27.506013,152.933696
010386,Ipswich Rd at Clifton Hill near Beaudesert Rd,-27.525557,153.022598
010387,Dawson Pde at Crampton St,-27.410908,152.962524
010388,"Cavendish Rd at Shire Street, stop 27/28",-27.496449,153.060535
001039,Montague Rd at Queensland Theatre,-27.472137,153.013537
010391,Gympie Rd near Bald Hills Rd,-27.321863,153.009095
010392,"Cavendish Rd at Arlington Street, stop 37",-27.511719,153.066330
010393,"Cavendish Rd at Stoneleigh Street, stop 38",-27.512769,153.069986
010394,"Cavendish Rd at Cavendish Rd Reservoir, stop 40",-27.515466,153.072894
010395,"Cavendish Rd at Crystal Street, stop 50",-27.518807,153.078518
010396,"Ipswich Rd at Moorooka station, stop 38/39",-27.534291,153.015074
010397,"Glenlyon Dr near Marist Lane, stop 39C",-27.445143,152.979999
010398,"Glenlyon Dr near Cypress Dr, stop 39c",-27.445431,152.980032
010399,"Thomas St near Oxley Rd, stop 55",-27.530130,152.983353
010400,"Thomas St near Oxley Rd, stop 55",-27.529970,152.983501
010401,Archdale Rd near Ballylin St,-27.401122,152.931482
010404,"Nagle St near Pickworth St, stop 79",-27.558246,153.075737
010405,"Tora St near Ilya St, stop 77",-27.556472,153.071096
010406,"Delavan St at Wolcott Street, stop 86",-27.561696,153.093255
010407,"Delavan St at Wolcott Street, stop 86",-27.561583,153.093236
010408,"Delavan St at Delavan Street Park, stop 85",-27.561268,153.096520
010409,"Cavendish Rd at York Street, stop 29",-27.498590,153.061705
001041,"Montague Rd near Brereton St, stop 5",-27.474026,153.011385
010410,"Dawson Rd at Brockhouse Street, stop 77",-27.553974,153.086976
010411,"Logan Rd at Bardsley Avenue, stop 20",-27.505208,153.048331
010412,"Hillgrove St at Kingsway Street, stop 41",-27.544358,153.087519
010413,"Wishart Rd at Pinner Street, stop 43",-27.546712,153.088959
010414,"Tryon St at Mascar Street, stop 81",-27.559157,153.084706
010415,Satinay St at Samford - Blackbutt,-27.414021,152.955433
010416,"Windsor Rd at Windsor - Prospect, stop 9",-27.452119,153.006995
010417,"Windsor Rd near Errard St, stop 12",-27.446478,153.006252
010418,"Ashgrove Ave near Bott St, stop 25",-27.442376,152.995539
010420,"Arinya Rd near Mirrabooka Rd, stop 39",-27.440478,152.983624
010422,Dawson Pde near Crampton St,-27.410990,152.962677
010423,"Kingsford Smith Dr at Remora Road, stop 29",-27.438135,153.069574
010425,Agnew St at Seven Hills Stop 42,-27.476945,153.070521
010426,"Cornwall St at Rialto Street, stop 19a",-27.503623,153.050916
010427,"Cornwall St at Darreen St, stop 19",-27.503087,153.047706
010428,"Kadumba St near Eversley Tce, stop 23",-27.515542,153.015386
010429,"Tennyson Memorial Ave at Brisbane Golf, stop 36",-27.526926,153.009470
001043,"Montague Rd near Mollison St, stop 6",-27.475406,153.009845
010430,"Softstone St near King Arthur Tce, stop 38",-27.524981,153.004506
010431,"Wharf St near Bridge St, stop 52",-27.510183,152.974861
010432,"Hawken Dr at Tarcoola Street, stop 27",-27.504585,153.000393
010433,"Wharf St near Bridge St, stop 52",-27.510196,152.975053
010437,"Beaudesert Rd at Stimpson Park, stop 29",-27.526054,153.022998
010438,"Evans Rd at Pentex Street, stop 43",-27.544907,153.030805
010439,"Webster Rd at Lindley Street, stop 29",-27.413990,153.016356
001044,"Montague Rd at Mollison Street, stop 6",-27.476066,153.008904
010440,Griffith University Stop A,-27.554088,153.053717
010441,"Evans Rd at Pentex Street, stop 43",-27.545278,153.032437
010444,"Endiandra St near Satinash St, stop 87",-27.615712,153.032119
010445,Algester Rd at Crestone Street Stop 90/89,-27.623000,153.031444
010446,"Tufnell Rd at Earnshaw Road, stop 27",-27.379112,153.080867
010447,Remora Rd at Portside,-27.438909,153.070472
010448,Algester Rd at Crestone Street Stop 90/89,-27.622835,153.031380
001045,"Montague Rd at Donkin Street, stop 7",-27.476864,153.008210
010451,"Beaudesert Rd at Boyland Avenue, stop 42/41",-27.563743,153.022783
010453,Kerry Road East,-27.572781,153.023796
010459,Keong Rd near Crofty St,-27.351434,152.976661
001046,"Montague Rd at Donkin Street, stop 7",-27.476809,153.008078
010460,"Kadumba St near Eversley Tce, stop 23",-27.515571,153.014721
010463,"Deagon St near Brisbane St, stop 37",-27.313792,153.063205
010464,"Winslow St at Rowe Tce, stop 67/68",-27.569544,152.957583
010465,"Winslow St at Rowe Tce, stop 67/68",-27.569609,152.957844
010467,"Northbrooke St near Allamanda Ct, stop 59",-27.543988,152.947992
010468,"Northbrook St at Cityview Rd, stop 59",-27.544914,152.948262
010469,"Oldfield Rd at Oldfield Shops, stop 57a",-27.544580,152.951381
001047,"Montague Rd at Davies Park, stop 8",-27.478641,153.006306
010470,"Oldfield Rd at Oldfield Shops, stop 57a",-27.544347,152.951376
010472,"Kirby Rd near Zillmere Rd, stop 52a",-27.358280,153.027710
010475,"Stanley Rd at Lunga Street, stop 39/40",-27.488099,153.088123
010476,Ironbark Rd near Birchley St,-27.495278,152.942218
010477,Keong Rd near Rafter Ave,-27.354053,152.976196
010478,Keong Rd near Dawn Rd,-27.358135,152.974998
010479,Boundary Street Hail 'n' Ride,-27.487712,153.010717
001048,"Montague Rd at Davies Park, stop 8",-27.478886,153.006003
010480,Boundary near Bristol Street Hail 'n' Ride,-27.486170,153.011009
010481,Boundary at Whynot Street Hail 'n' Ride,-27.485213,153.011190
010482,Boundary at Granville Street Hail 'n' Ride,-27.483559,153.011491
010483,Brighton Road Hail 'n' Ride,-27.483713,153.015412
010484,Keong Rd near Hampshire Tce,-27.359409,152.973595
010486,"Dornoch Tce near Gladstone Rd, stop 21a",-27.487328,153.018410
010487,"Dornoch Tce near Hampstead Road, stop 21",-27.487036,153.016652
010488,Dornoch Terrace Hail 'n' Ride,-27.487118,153.008030
010489,Edmondstone Street at Musgrave Park Hail 'n' Ride,-27.479395,153.015465
001049,"Montague Rd at Ashington Street, stop 9",-27.480984,153.004817
010490,Edmondstone St near Melbourne St hail 'n' ride,-27.477054,153.013866
010491,Edmondstone near Vulture Street Hail 'n' Ride,-27.481170,153.016684
010493,"Dornoch Tce at Hampstead Road, stop 21",-27.487223,153.015723
010494,Hampstead near Bellevue Street Hail 'n' Ride,-27.485604,153.016115
010495,Hampstead Road Hail 'n' Ride,-27.484399,153.016515
010497,"Musgrave Rd at Indooroopilly Shopping Ctr, stop F",-27.499324,152.972039
010498,Ironbark Rd near Birchley St,-27.495254,152.942357
010499,Jane Street,-27.478860,153.009555
001050,"Montague Rd at Ashington Street, stop 9",-27.480920,153.004695
010500,Old Northern Rd at Chinook,-27.383099,152.983424
010501,Patricks Rd near Leslie St,-27.397132,152.956684
010502,Sussex Street Hail 'n' Ride,-27.483064,153.012748
010503,Sussex Street Hail 'n' Ride,-27.481665,153.013013
010504,Vulture Street Hail 'n' Ride,-27.482155,153.019475
010505,Vulture Street Hail 'n' Ride,-27.481004,153.012684
010506,Boundary near Vulture Street Hail 'n' Ride,-27.481997,153.011797
010507,Brighton at Franklin Street Hail 'n' Ride,-27.483418,153.013467
010508,"Chalk St near Challis Lane, stop 20",-27.421603,153.035405
010509,"McLennan St near Chalk St, stop 19",-27.422645,153.038075
001051,"Montague Rd near Victoria St, stop 10",-27.482510,153.003810
010510,"McLennan St near Chalk St, stop 19",-27.422483,153.038229
